[2026-06-22T01:59:06.555Z] GET http://172.19.97.28:8236/assets/plants/agave_small.png → 200 (50ms, 112228B)
[2026-06-22T01:59:06.555Z] GET http://172.19.97.28:8236/assets/plants/barrel_cactus_flowering.png → 200 (50ms, 136999B)
[2026-06-22T01:59:06.555Z] GET http://172.19.97.28:8236/assets/plants/prickly_pear_cactus.png → 200 (50ms, 176683B)
[2026-06-22T01:59:06.555Z] GET http://172.19.97.28:8236/assets/plants/desert_scrub_brush.png → 200 (50ms, 168722B)
[2026-06-22T01:59:06.555Z] GET http://172.19.97.28:8236/assets/plants/alien_eye_plant_small.png → 200 (69ms, 89120B)
[2026-06-22T01:59:06.555Z] GET http://172.19.97.28:8236/assets/plants/purple_alien_eye_plant.png → 200 (68ms, 188586B)
[2026-06-22T01:59:12.404Z] GET http://172.19.97.28:8236/run.html?course=miranda&cb=827 → 200 (6ms, 9634B)
[2026-06-22T01:59:12.415Z] GET http://172.19.97.28:8236/assets/fonts/DepartureMono-Regular.woff2 → 200 (1ms, ?B)
[2026-06-22T01:59:12.417Z] GET http://172.19.97.28:8236/src/shared.js → 200 (?ms, 10157B)
[2026-06-22T01:59:12.417Z] GET http://172.19.97.28:8236/src/worlds/run.js → 200 (?ms, 7990B)
[2026-06-22T01:59:12.419Z] GET http://172.19.97.28:8236/src/planet-gen.js → 200 (?ms, 27523B)
[2026-06-22T01:59:12.420Z] GET http://172.19.97.28:8236/src/lab.js → 200 (?ms, 6609B)
[2026-06-22T01:59:12.420Z] GET http://172.19.97.28:8236/src/level-design.js → 200 (?ms, 132218B)
[2026-06-22T01:59:12.420Z] GET http://172.19.97.28:8236/src/moon-terrain.js → 200 (?ms, 7939B)
[2026-06-22T01:59:12.420Z] GET http://172.19.97.28:8236/src/set-pieces.js → 200 (?ms, 7153B)
[2026-06-22T01:59:12.420Z] GET http://172.19.97.28:8236/src/water.js → 200 (?ms, 11680B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/weird-terrain.js → 200 (?ms, 19400B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/modes/desert-golfing.js → 200 (?ms, 42461B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/art.js → 200 (?ms, 9628B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/gameplay.js → 200 (?ms, 11767B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/roguelike/save.js → 200 (?ms, 8310B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/roguelike/modifiers.js → 200 (?ms, 3846B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/roguelike/run.js → 200 (?ms, 147729B)
[2026-06-22T01:59:12.421Z] GET http://172.19.97.28:8236/src/roguelike/secrets.js → 200 (?ms, 15517B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/economy.js → 200 (?ms, 27713B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/ship.js → 200 (?ms, 9111B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/shop.js → 200 (?ms, 5435B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/wrap.js → 200 (?ms, 39898B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/audio.js → 200 (?ms, 13548B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/fx.js → 200 (?ms, 12243B)
[2026-06-22T01:59:12.422Z] GET http://172.19.97.28:8236/src/roguelike/juice.js → 200 (7ms, 15097B)
[2026-06-22T01:59:12.429Z] GET http://172.19.97.28:8236/src/roguelike/ambient.js → 200 (?ms, 22294B)
